image_filename,mask_filename,prompt
2000x1500_0_resized_jpg.rf.0dd5a8210e3178cb5374e1bd32333ff1.jpg,2000x1500_0_resized_jpg.rf.0dd5a8210e3178cb5374e1bd32333ff1_mask.png,segment taping area
2000x1500_0_resized_jpg.rf.38d4a9203529cd5ab92e28eced776ef7.jpg,2000x1500_0_resized_jpg.rf.38d4a9203529cd5ab92e28eced776ef7_mask.png,segment taping area
2000x1500_0_resized_jpg.rf.d3e86fed1273baffa7b16d27ba3e6c26.jpg,2000x1500_0_resized_jpg.rf.d3e86fed1273baffa7b16d27ba3e6c26_mask.png,segment taping area
2000x1500_0_resized_jpg.rf.e2838d0ac75a0771cd4a1b1f95706688.jpg,2000x1500_0_resized_jpg.rf.e2838d0ac75a0771cd4a1b1f95706688_mask.png,segment taping area
2000x1500_0_resized_jpg.rf.f4b8d1eee966480206093b0834d1d7da.jpg,2000x1500_0_resized_jpg.rf.f4b8d1eee966480206093b0834d1d7da_mask.png,segment taping area
2000x1500_10_resized_jpg.rf.39884ce4469fec50130ca411f6284509.jpg,2000x1500_10_resized_jpg.rf.39884ce4469fec50130ca411f6284509_mask.png,segment taping area
2000x1500_11_resized_jpg.rf.15d99066dcbe0a2c6d4b5bdec1a556db.jpg,2000x1500_11_resized_jpg.rf.15d99066dcbe0a2c6d4b5bdec1a556db_mask.png,segment taping area
2000x1500_11_resized_jpg.rf.852c4f28cae770bbfa0be121af383ae0.jpg,2000x1500_11_resized_jpg.rf.852c4f28cae770bbfa0be121af383ae0_mask.png,segment taping area
2000x1500_11_resized_jpg.rf.9bb89a4ac2e85810c39197a7530dc2b9.jpg,2000x1500_11_resized_jpg.rf.9bb89a4ac2e85810c39197a7530dc2b9_mask.png,segment taping area
2000x1500_11_resized_jpg.rf.9d87b20920921f69188f3ec32ea59efe.jpg,2000x1500_11_resized_jpg.rf.9d87b20920921f69188f3ec32ea59efe_mask.png,segment taping area
2000x1500_13_resized_jpg.rf.29068767b9f4ba676631ede9a1a1a8a2.jpg,2000x1500_13_resized_jpg.rf.29068767b9f4ba676631ede9a1a1a8a2_mask.png,segment taping area
