image_filename,mask_filename,prompt
00002_jpg.rf.265de36f8831f5e50115112766859686.jpg,00002_jpg.rf.265de36f8831f5e50115112766859686_mask.png,segment crack
00002_jpg.rf.9cb5ad45350d9d8eacae38b53f8073f2.jpg,00002_jpg.rf.9cb5ad45350d9d8eacae38b53f8073f2_mask.png,segment crack
00002_jpg.rf.ee9431d002ab402096c30cd8f4928a92.jpg,00002_jpg.rf.ee9431d002ab402096c30cd8f4928a92_mask.png,segment crack
00004_jpg.rf.365abe12167fcc1a5e2605471ff9c560.jpg,00004_jpg.rf.365abe12167fcc1a5e2605471ff9c560_mask.png,segment crack
00004_jpg.rf.cde0a86275b1be0cdcefc367f68c6a6c.jpg,00004_jpg.rf.cde0a86275b1be0cdcefc367f68c6a6c_mask.png,segment crack
00004_jpg.rf.ee345a75e49e87b15d24639ae2cedeac.jpg,00004_jpg.rf.ee345a75e49e87b15d24639ae2cedeac_mask.png,segment crack
00005_jpg.rf.0f0885cec300fc82e5a4a187119c01d5.jpg,00005_jpg.rf.0f0885cec300fc82e5a4a187119c01d5_mask.png,segment crack
00005_jpg.rf.13ba415119884f7cd1b9c033275921a1.jpg,00005_jpg.rf.13ba415119884f7cd1b9c033275921a1_mask.png,segment crack
00005_jpg.rf.14ea9ff07db01a0926855baec3d84516.jpg,00005_jpg.rf.14ea9ff07db01a0926855baec3d84516_mask.png,segment crack
00005_jpg.rf.98f1b1cf89cf2c5041cc5b43556fcdf2.jpg,00005_jpg.rf.98f1b1cf89cf2c5041cc5b43556fcdf2_mask.png,segment crack
00005_jpg.rf.add72d9d80176fc087c158457e1c4fc9.jpg,00005_jpg.rf.add72d9d80176fc087c158457e1c4fc9_mask.png,segment crack
00005_jpg.rf.b6ec4be041cd3fcf09689a50263736fb.jpg,00005_jpg.rf.b6ec4be041cd3fcf09689a50263736fb_mask.png,segment crack
00006_jpg.rf.d2aeebab9e1bfd93c17d8205eba2fd59.jpg,00006_jpg.rf.d2aeebab9e1bfd93c17d8205eba2fd59_mask.png,segment crack
00006_jpg.rf.e9793005ae0ff9eb9df0946b4219a1d1.jpg,00006_jpg.rf.e9793005ae0ff9eb9df0946b4219a1d1_mask.png,segment crack
00007_jpg.rf.8c935185ce146271b8a4bf4eb788f0b4.jpg,00007_jpg.rf.8c935185ce146271b8a4bf4eb788f0b4_mask.png,segment crack
00007_jpg.rf.a83b827fdd03c51abbddc389034a9162.jpg,00007_jpg.rf.a83b827fdd03c51abbddc389034a9162_mask.png,segment crack
00007_jpg.rf.acd17dd6c644da8f88ca794214cf15c4.jpg,00007_jpg.rf.acd17dd6c644da8f88ca794214cf15c4_mask.png,segment crack
00008_jpg.rf.0796f3f805dd5939058b697a7fe64e7f.jpg,00008_jpg.rf.0796f3f805dd5939058b697a7fe64e7f_mask.png,segment crack
00008_jpg.rf.54a79f85e7afde9188b5ca8f7a93a333.jpg,00008_jpg.rf.54a79f85e7afde9188b5ca8f7a93a333_mask.png,segment crack
00008_jpg.rf.57e3f92c2ed89cd72c07b01627246a2b.jpg,00008_jpg.rf.57e3f92c2ed89cd72c07b01627246a2b_mask.png,segment crack
00008_jpg.rf.58e3392d2e9e3df762e53ae42e904350.jpg,00008_jpg.rf.58e3392d2e9e3df762e53ae42e904350_mask.png,segment crack
00008_jpg.rf.c1740f3d341811e1d1d77f46ad210d74.jpg,00008_jpg.rf.c1740f3d341811e1d1d77f46ad210d74_mask.png,segment crack
00008_jpg.rf.da937f2f2ede004b8c247cd150fa4bcf.jpg,00008_jpg.rf.da937f2f2ede004b8c247cd150fa4bcf_mask.png,segment crack
00008_jpg.rf.dc3f5cc64c382cfb62b9bef42d84ca06.jpg,00008_jpg.rf.dc3f5cc64c382cfb62b9bef42d84ca06_mask.png,segment crack
00010_jpg.rf.21ab3ddd1acf6f2b684a3c41d316bcaa.jpg,00010_jpg.rf.21ab3ddd1acf6f2b684a3c41d316bcaa_mask.png,segment crack
00010_jpg.rf.23b09d7367f7769a42a6ffef5257e210.jpg,00010_jpg.rf.23b09d7367f7769a42a6ffef5257e210_mask.png,segment crack
00010_jpg.rf.2b39d4c4d3d20f17cd7eba933ecef188.jpg,00010_jpg.rf.2b39d4c4d3d20f17cd7eba933ecef188_mask.png,segment crack
00010_jpg.rf.9aa4216c99977802406cc4614df742fc.jpg,00010_jpg.rf.9aa4216c99977802406cc4614df742fc_mask.png,segment crack
00010_jpg.rf.d424a92eca7706020705a9d59ea0427e.jpg,00010_jpg.rf.d424a92eca7706020705a9d59ea0427e_mask.png,segment crack
00010_jpg.rf.e03de998f13d733343de4e12eb1182c8.jpg,00010_jpg.rf.e03de998f13d733343de4e12eb1182c8_mask.png,segment crack
00010_jpg.rf.e6ce33b8066ea604b1b7713c740b1219.jpg,00010_jpg.rf.e6ce33b8066ea604b1b7713c740b1219_mask.png,segment crack
00010_jpg.rf.f3c5d727bae4e2b2a2cb6a7190640591.jpg,00010_jpg.rf.f3c5d727bae4e2b2a2cb6a7190640591_mask.png,segment crack
00013_jpg.rf.695295f0524399a5df3c333a676c07d0.jpg,00013_jpg.rf.695295f0524399a5df3c333a676c07d0_mask.png,segment crack
00013_jpg.rf.730b6cec1b3d72949c593b579148a2c7.jpg,00013_jpg.rf.730b6cec1b3d72949c593b579148a2c7_mask.png,segment crack
00014_jpg.rf.0f121f3ed58e8691e9760d814cb60d2c.jpg,00014_jpg.rf.0f121f3ed58e8691e9760d814cb60d2c_mask.png,segment crack
00014_jpg.rf.4c980525d4156dbd2cabcfaf1eb3d888.jpg,00014_jpg.rf.4c980525d4156dbd2cabcfaf1eb3d888_mask.png,segment crack
00014_jpg.rf.60016a72c47b5bde1173d183ea4b5d82.jpg,00014_jpg.rf.60016a72c47b5bde1173d183ea4b5d82_mask.png,segment crack
00014_jpg.rf.7cf9ff1b7c577eb08ee673c9471bdd69.jpg,00014_jpg.rf.7cf9ff1b7c577eb08ee673c9471bdd69_mask.png,segment crack
00014_jpg.rf.d5efdf43691384f61afaafeefe419a55.jpg,00014_jpg.rf.d5efdf43691384f61afaafeefe419a55_mask.png,segment crack
00014_jpg.rf.e1ab4fe7749affe10007e02fec41dd19.jpg,00014_jpg.rf.e1ab4fe7749affe10007e02fec41dd19_mask.png,segment crack
00014_jpg.rf.fd79ed1ffedfa3e9dbab032c3df89b77.jpg,00014_jpg.rf.fd79ed1ffedfa3e9dbab032c3df89b77_mask.png,segment crack
00016_jpg.rf.19f7e9363164d83bf6a8832f06968aaf.jpg,00016_jpg.rf.19f7e9363164d83bf6a8832f06968aaf_mask.png,segment crack
00016_jpg.rf.1d3b4081846fec5e51754903fe1cf568.jpg,00016_jpg.rf.1d3b4081846fec5e51754903fe1cf568_mask.png,segment crack
00016_jpg.rf.3c3f7be7ffc44c16498b99d68f7b5e95.jpg,00016_jpg.rf.3c3f7be7ffc44c16498b99d68f7b5e95_mask.png,segment crack
